USER IDENTITY,round-1-noSourcecred,round-2-noSourcecred,round-3-noSourcecred,round-4-noSourcecred,round-5-noSourcecred
Cesar#2892,,,,,"22,3007567219449"
heater#9765,,,"3,87820243595128","27,2110155382908","21,6812912574465"
gabi#4807,,,,,"21,6812912574465"
Nebs#2035,,,,,"21,061825792948"
zhiwei#1356,,,,,"21,0189644792294"
Loie#2921,,"26,0704918032787","8,40277194456111","19,1212541620422","20,4423603284495"
danlessa#2831,,,,,"19,8228948639511"
teaci#6108,,"32,3513513513514","32,3212290502793",,"19,337447320891"
mafer_cordovas#1034,,"5,04590163934426","9,04913901721966",,"18,5839639349541"
osycross(🦎🦎)#5943,"38,812020033389","12,0418918918919",,,"17,9644984704556"
Caeser (PST)#0046,,"56,3459016393443","67,2221755564889","42,6551054384018","17,9644984704556"
mono#9024,,,,,"16,7255675414587"
bfa#7705,,,,"10,2960599334073","16,1061020769602"
catarina#7223,,,,,"16,1061020769602"
Lutzar#9885,,,,,"16,1061020769602"
bitN8#0367,,,,,"15,4866366124618"
Lalocripto.eth🏴#8138,,,,,"15,4866366124618"
santigs#9769,"19,4486198869305","68,9606557377049","56,8803023939521","36,0362097669256","14,8671711479633"
UncleBimBim#1401,,,,"4,41259711431743","14,8671711479633"
angieberryberry#9822,,,,,"14,2477056834648"
JeffEmmett#7202,"59,4263385433987","38,6852459016393","25,8546829063419",,"14,2477056834648"
anna-marie#8824,"119,933155969405","178,288524590164","108,589668206636","67,6598224195339","14,2477056834648"
RodriCastillo#1415,,,,"26,4755826859045","13,0087747544679"
topocount#1337,,,,,"13,0087747544679"
freshelle#9882,"65,9092118390422","60,5508196721311","18,0982780344393","44,1259711431743","13,0087747544679"
alantv#0964,,,,,"13,0087747544679"
mheuer#9922,"58,3458596607915","68,1196721311475","38,7820243595128",,"12,3893092899694"
Keytang#9140,,,,,"12,3893092899694"
anson parker#4296,,,,"13,9732241953385","11,7698438254709"
K.#9150,,,"17,4519109617808",,"10,530912896474"
Arvind#302,,,,,"10,530912896474"
AnnAnna#4694,,,"1,93910121797564",,"10,530912896474"
Stefano#8400,,,"16,1591768164637","19,8566870144284","9,91144743197553"
JessicaZartler#2263,"50,7825074825407","88,3032786885246","45,8920621587568","8,08976137624861","9,29198196747706"
billyjitsu#3865,,,,,"8,67251650297859"
taxil#8577,,"6,72786885245902",,"0,735432852386238","8,67251650297859"
willyfox#1178,,,,,"8,05305103848012"
magwalk#8115,,,"0,646367072658547","8,82519422863485","7,43358557398165"
russlive215#8460,,,,,"6,81412010948318"
logonaut#9437,,,,,"6,81412010948318"
miguelb#5176,,,,,"6,81412010948318"
Suga#8514,"146,945128034586","195,108196721311","159,006299874003","65,4535238623751","6,81412010948318"
Thena#2630,,,,,"6,81412010948318"
geleeroyale#3228,,"16,8196721311475",,,"6,81412010948318"
paxthemax#4454,,,,,"6,1946546449847"
knic#3318,,,,"2,94173140954495","6,1946546449847"
divine#9879,,,,,"4,95572371598776"
Kris#8703,"14,0462254738942","88,3032786885246","17,4519109617808","11,7669256381798","4,95572371598776"
sidcode#1729,,,,,"4,95572371598776"
EdgarWeb3#5783,,,,,"4,95572371598776"
BiancaGadelha#2667,,"3,36393442622951","1,29273414531709","16,9149556048835","4,33625825148929"
DJBritStar#9267,,,,"5,14802996670366","4,33625825148929"
John V#2787,,,,,"4,33625825148929"
nisreen#6667,,,,,"4,33625825148929"
JL#3980,,,,,"4,33625825148929"
MD-LTF#6461,,,,,"4,33625825148929"
Tixter | Ángel#2801,,,,,"3,71679278699082"
skamau#2037,,,,,"3,71679278699082"
Mettodo#7010,"33,7495826377295","40,7611874169251","57,9538695538938","48,6730022197558","3,71679278699082"
theseeker#0745,,,,,"3,09732732249235"
tigeroid#2951,"14,9763772954925","16,3554054054054",,"37,6415094339623","3,09732732249235"
stkr4lv#6010,,,,,"3,09732732249235"
greasypissjugs#9493,,,,,"3,09732732249235"
octavioesc#6687,,,,,"3,09732732249235"
Cristian.dll#0304,,,,"7,35432852386237","3,09732732249235"
HBesso31🐙#4560,,,,"2,94173140954495","3,09732732249235"
The Blockchain Socialist ⬛🟥⬛#5005,,,,,"2,47786185799388"
leopoldddd#2883,,,,,"2,47786185799388"
Kojak#5611,,"2,52295081967213","6,46367072658547","0,735432852386238","2,47786185799388"
harsh24#4473,,,,,"2,47786185799388"
Atotsm#5719,"0,540239441303625","1,68196721311475","1,29273414531709",,"2,47786185799388"
RoguePenguins#3106,,,,,"2,47786185799388"
isaaaa#0875,,,,,"2,47786185799388"
aydj#2483,,,,,"2,47786185799388"
jon.s#3107,,,,"3,67716426193119","1,85839639349541"
Ekeneodigwe#1502,"9,18407050216162","1,68196721311475","3,87820243595128","10,2960599334073","1,85839639349541"
satchel#7393,,,,,"1,85839639349541"
zcstarr#7166,,,,,"1,85839639349541"
Rohekbenitez#8753,,,"1,93910121797564","15,444089900111","1,85839639349541"
Mert Ozd#6679,,,"13,5737085258295","8,82519422863485","1,85839639349541"
Uzi#0048,,,,,"1,85839639349541"
Aurelio#6499,,,,,"1,85839639349541"
Lola rennt#6271,,,,,"1,85839639349541"
pab🐝🐙#6151,,"7,56885245901639","1,29273414531709",,"1,85839639349541"
Danada#3389,,,"1,93910121797564","12,502358490566","1,85839639349541"
domhs#6371,,,,,"1,85839639349541"
0xhana#8936,,,,,"1,23893092899694"
capsaicin#1997,,,,,"1,23893092899694"
T Wells#9070,,"0,840983606557377","8,40277194456111",,"1,23893092899694"
JBZ#9619,,,,,"1,23893092899694"
sportingyounglad#7784,,,,,"1,23893092899694"
shaar#2907,,,,,"1,23893092899694"
Kraznik#9408,,,,,"1,23893092899694"
onur#1099,,,,,"1,23893092899694"
Quasar#0436,,,,,"1,23893092899694"
Pronoia🐙🦘#2154,"1,08047888260725","2,52295081967213","0,646367072658547",,"1,23893092899694"
ernnnnnesto#7656,,,,,"0,61946546449847"
luigy 𝗹𝗲𝗺𝗼𝗻#1337,,,"2,58546829063419",,"0,61946546449847"
DaveW#9619,,"2,52295081967213","9,6955060898782","3,67716426193119","0,61946546449847"
superfreek#1454,,,,,"0,61946546449847"
sessionacc#6734,,,,,"0,61946546449847"
🐙Musashi13#5579,,,,"2,20629855715871","0,61946546449847"
geekinada#7923,,,,,0
mZ#3472,"8,643831060858","6,72786885245902","5,17093658126838",,0
ddan#2489,,"37,0032786885246","19,3910121797564","49,2740011098779",
bear100#9085,,,,"37,6415094339623",
Sha#6179,,"32,3513513513514",,"37,6415094339623",
shawn#7046,"36,0698664440735","69,8016393442623","32,3183536329273","37,6415094339623",
witwiki#0518,,,"5,81730365392692","30,1527469478357",
Letty#5399,"25,931493182574","5,88688524590164","6,46367072658547","27,2110155382908",
Yonks#7762,,,,"25,7401498335183",
MsMagey#8357,,,,"25,0047169811321",
jugaadbhatia#0949,,,"11,6346073078538","23,5338512763596",
amanwithwings#0165,,,"9,6955060898782","19,8566870144284",
MisterBoyfriend#7096,,"7,56885245901639",,"16,9149556048835",
Josxhua#9528,,,"3,23183536329273","16,9149556048835",
Dan Knobelsdorf#326,"78,3347189890256","201,83606557377","56,8803023939521","13,2377913429523",
rodbot2#3621,,,,"11,0314927857936",
xm3van#0929,"1,62071832391087","1,68196721311475","3,23183536329273","10,2960599334073",
WhyldWanderer#7002,,"6,72786885245902","3,23183536329273","9,56062708102109",
Babble#2298,,,,"8,82519422863485",
petec#6681,,,,"8,08976137624861",
Gus#1951,,,,"7,35432852386237",
siebold_magnolia#7889,,,,"7,35432852386237",
MorganicMovement 🍄#1085,,,"3,87820243595128","6,61889567147614",
ricardo.ggz#1868,,,,"6,61889567147614",
Cyber Rabbit#3221,,"9,25081967213115",,"6,61889567147614",
merkle_🏴#6848,,,,"5,8834628190899",
HannahJoJo#7708,,,,"5,8834628190899",
DecentralizeSDGs#7544,,,"1,29273414531709","5,14802996670366",
Javi | jgonz.eth#8431,,,,"5,14802996670366",
monstrosity#5714,,,"24,5619487610248","4,41259711431743",
Globallager#4834,,,,"3,67716426193119",
dab621#852,,,,"3,67716426193119",
ApeironCreations#9049,,,"1,29273414531709","3,67716426193119",
patriacaelum (Austin)#3496,"1,62071832391087",,,"3,67716426193119",
DarrenZ#0122,,,,"2,94173140954495",
amrro#4121,,,,"2,94173140954495",
🐙 peth don't need your eth#8052,,,,"2,94173140954495",
Mr. Rock#5540,,,,"2,94173140954495",
MrsYonks#0771,,,,"2,94173140954495",
trangnv#2156,,"31,9573770491803",,"2,20629855715871",
BK#7471,"2,1609577652145","47,0950819672131","1,93910121797564","2,20629855715871",
0x0#1806,,,,"2,20629855715871",
SN#4278,,,,"2,20629855715871",
Hash17#7062,,,,"2,20629855715871",
24nico#9513,,,,"2,20629855715871",
Santiago#0325,,,"5,81730365392692","2,20629855715871",
PabloFM#2890,,,,"2,20629855715871",
calazki#3961,"38,812020033389","32,3513513513514",,"2,20629855715871",
andrej#6442,,,"4,52456950860983","1,47086570477248",
TejP#1290,,,,"1,47086570477248",
wslyvh#1059,,,,"1,47086570477248",
carlfarterson#5846,,,"1,29273414531709","1,47086570477248",
tù.úk'z#1449,,,"0,646367072658547","1,47086570477248",
ssystww#3146,,,,"1,47086570477248",
jeromehartigan#6895,,,,"1,47086570477248",
randomshinichi#1165,,,,"1,47086570477248",
cider#4419,,,,"1,47086570477248",
KZ Flyer#0926,"0,540239441303625","3,36393442622951","3,23183536329273","1,47086570477248",
johann#1308,,,,"1,47086570477248",
Emma_13#2010,,,,"1,47086570477248",
bernard#9024,,,,"0,735432852386238",
JohnPaller | Opolis#2670,,"28,5934426229508",,"0,735432852386238",
Paul Haas#7536,,,"9,04913901721966","0,735432852386238",
RA | Ocean#8791,,,,"0,735432852386238",
jukren#8803,"56,7251413368806","53,8229508196721",,,
hernandoagf#3014,,"37,844262295082",,,
PhilH#1102,,"32,3513513513514","41,7946927374302",,
MehighCB#4516,"2,1609577652145","16,8196721311475",,,
NaN#6925,,"14,2967213114754",,,
OddName#8763,"41,0581975390755","14,2967213114754",,,
enti#1546,,"12,0418918918919","41,7946927374302",,
Fortunov | Aragon#6678,,"10,9327868852459",,,
nathalia#0926,"3,24143664782175","10,0918032786885",,,
Lisa JY Tan#3350,,"9,25081967213115",,,
Media#1337,,"8,40983606557377",,,
JustinKalland#0001,"1,62071832391087","7,56885245901639",,,
bradleyc#3333,,"6,72786885245902","10,9882402351953",,
Peter (porobov.eth) 🤖#3488,,"5,88688524590164",,,
glocalvr#3469,,"5,04590163934426",,,
gijsspoor#0183,,"4,20491803278689",,,
jori#5279,,"4,20491803278689",,,
T-Rossi#1714,,"4,20491803278689",,,
storypup#2167,"7,02311273694712","3,36393442622951","2,58546829063419",,
Mensch#5604,,"2,52295081967213",,,
Adam B#4867,,"2,52295081967213",,,
Lin#3884,,"1,68196721311475",,,
GCF#3655,,"1,68196721311475","1,93910121797564",,
Sukanshi | MultiSafe#9407,,"1,68196721311475",,,
Jsimbouras#2339,,"1,68196721311475","1,93910121797564",,
drllau#2628,,"0,840983606557377",,,
Tarun Gupta | MultiSafe#9929,,"0,840983606557377",,,
Alp#3768,"88,0590289324909",,"2,58546829063419",,
sacha 🐝#8437,"26,4717326238776",,,,
lEscanore#7764,"24,3107748586631",,,,
barnabe#7926,"22,1498170934486",,,,
Pat ✨#3662,"18,3681410043232",,,,
gruad#1079,"17,8279015630196",,,,
fahern#7639,"11,3450282673761",,"9,6955060898782",,
CMD Burrito#2759,"5,40239441303625",,,,
vicente.eth#4828,"3,24143664782175",,,,
solarmkd#5631,"3,24143664782175",,"12,2809743805124",,
Wen#1934,"2,70119720651812",,,,
joseacabrerav#5399,"2,1609577652145",,,,
Piedra de mar#2107,"2,1609577652145",,,,
D8N1#8408,"2,1609577652145",,,,
Gary Latta#3838,"2,1609577652145",,,,
theobtl#5976,"0,540239441303625",,,,
satorid#8361,"0,540239441303625",,,,
pavl#1561,"0,540239441303625",,,,
Huxwell#2172,"0,540239441303625",,,,
Lewwwk#4227,"0,540239441303625",,,,
CurlyBracketEffect#5572,,,"27,147417051659",,
bierlingm#9895,,,"14,220075598488",,
ActiveInferenceLab#3629,,,"12,2809743805124",,
Rudi#1165,,,"10,3418731625368",,
Benoît Kulesza#7976,,,"9,04913901721966",,
fabi#2426,,,"9,04913901721966",,
SteveWright#3039,,,"7,75640487190256",,
Martin09#7487,,,"7,11003779924402",,
Ronald#6940,,,"7,11003779924402",,
Striker#3288,,,"7,11003779924402",,
METADREAMER 🐙#1111,,,"5,17093658126838",,
imranistan#5185,,,"4,52456950860983",,
isysoares#5223,,,"4,52456950860983",,
now#5422,,,"3,87820243595128",,
Shaila#4348,,,"3,87820243595128",,
zakk#896,,,"3,87820243595128",,
Miles#9305,,,"3,87820243595128",,
Maya.Sierra#7592,,,"3,87820243595128",,
justkassie#0539,,,"3,23183536329273",,
ceresbzns#4276,,,"3,23183536329273",,
paul2#3057,,,"3,23183536329273",,
Zeugh#0001,,,"1,93910121797564",,
noturhandle#510,,,"1,93910121797564",,
egazf#2082,,,"1,93910121797564",,
eli_#0534,,,"1,93910121797564",,
G0RD0#9904,,,"1,93910121797564",,
Xinhui98#916,,,"1,93910121797564",,
StateClayer#5974,,,"1,29273414531709",,
danielo#2815,,,"1,29273414531709",,
KenMan#2662,,,"1,29273414531709",,
Leyi#3074,,,"1,29273414531709",,
Ty Autonomous#3855,,,"1,29273414531709",,
diganta.eth#0692,,,"1,29273414531709",,
bubbado#7885,,,"0,646367072658547",,
yao#6032,,,"0,646367072658547",,
coco_xyz#711,,,"0,646367072658547",,
foreverkatie#0788,,,"0,646367072658547",,
aidanbrodieo#1666,,,"0,646367072658547",,
